,0,1,2,3,4,5,6,7,8,9
0,kiss,mom,glove,shower,bed,beside,shoulder,floor,just,couch
1,let,so-called,anybody,anymore,forget,guess,still,anywhere,just,necessarily
2,testing,considerable,consideration,increase,estimate,stability,effective,measure,function,determine
3,gently,hole,earth,steel,brush,ice,snow,surface,sand,dust
4,minister,clearly,prime,current,cabinet,primary,considerable,legitimate,greatest,essentially
5,recognize,stability,identify,accomplish,essentially,strategic,reinforce,maintain,sustain,eliminate
6,guess,forget,anybody,whenever,we,our,just,so-called,everyone,let
7,testimony,employer,mayor,lawyer,adviser,writer,officer,administrator,partner,consultant
8,love,surprised,forget,careful,nonetheless,guess,disagree,just,fair,honest
9,inspire,nature,beautiful,theater,heritage,entertainment,library,designer,style,art
10,accomplish,characterize,prove,emerge,reinforce,potentially,eliminate,result,lead,sustain
11,seven,wire,substantial,twin,heavy,front,lock,line,double,eight
12,personally,breath,basically,surface,finger,constantly,brush,shoulder,normally,gently
13,incentive,saving,anywhere,eliminate,reasonable,free,limited,without,custom,friendly
14,confront,victim,suspect,killer,clearly,complaint,shooting,problem,witness,circumstance
15,adviser,interview,writer,newspaper,actor,characterize,consultant,minister,author,critic
16,shake,handle,crack,rope,ride,let,lock,spin,drag,run
17,experiment,grant,employer,regulation,essentially,extension,incentive,package,scheme,guideline
18,rich,admire,friendly,ideal,inspire,love,wonderful,lovely,beautiful,brilliant
19,circumstance,although,condition,essentially,result,significance,potentially,outcome,substantial,considerable
20,given,consider,specific,employ,accomplish,organize,recognize,identify,assign,determine
21,expression,limitation,evolution,involvement,substantial,recognition,consideration,importance,considerable,significance
22,honey,guess,lovely,mom,lady,kiss,she,anybody,me,sister
23,ball,lock,run,wear,wire,hole,rope,snap,tie,row
24,eat,cook,cream,bread,wine,bean,salad,fruit,honey,teaspoon
25,rich,quite,greatest,brilliant,beautiful,wonderful,inspire,talent,admire,lovely
26,consideration,institutional,distribution,country,administrator,district,transportation,extension,part,province
27,honey,anybody,couch,mom,lady,kiss,me,she,sister,guess
28,difference,estimate,increase,effective,change,measure,considerable,distribution,stability,substantial
29,determine,consider,characterize,remove,recognize,prove,confront,expose,identify,eliminate
30,sector,meeting,consultant,involvement,mayor,cabinet,adviser,officer,administrator,minister
31,library,capability,camera,release,copy,battery,device,PC,port,card
32,extension,manufacturing,function,consideration,composition,limitation,interaction,regulation,transportation,distribution
33,nonetheless,quite,still,experience,constantly,basically,everyone,just,sense,feeling
34,ball,pound,snow,rope,head,shoulder,animal,horse,lady,ride
35,administrator,examination,institutional,profession,recognition,curriculum,faculty,academic,economics,membership
36,top,previous,score,tournament,seven,twelve,fourth,six,eight,third
37,interaction,meet,consideration,working,participate,meeting,membership,involvement,interview,convention
38,burden,struggle,die,prisoner,confront,escape,outcome,fate,tragedy,circumstance
39,cabinet,chamber,minister,testimony,Supreme,mayor,convention,bill,Senate,election
40,administrator,circumstance,reasonable,complaint,incentive,employ,disability,profession,employer,membership
41,advice,employ,organize,inspire,ability,seek,sustain,help,accomplish,identify
42,survivor,prisoner,defend,eliminate,stop,confront,escape,expose,emerge,return
43,wonderful,throughout,importance,numerous,recognize,substantial,significance,real,considerable,greatest
44,expose,finger,remove,crack,nut,bite,hole,lock,shake,brush
45,hole,tie,seven,eight,front,seat,floor,row,six,lap
46,current,consideration,importance,capability,effective,technology,motivation,institutional,reinforce,strategic
47,sustain,eliminate,eat,prove,quit,forget,gain,die,take,lose
48,essentially,profession,society,style,entertainment,experience,nature,healthy,lifestyle,fitness
49,owner,maker,dealer,giant,designer,technology,custom,style,manufacturing,consultant
50,grocery,take,wear,build,dealer,lose,eat,buy,invest,forget
51,frequency,stability,factor,cell,interaction,activity,organic,function,expression,protein
